"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","任务计划模块","计划记录列表","0","0","1","0","0"
"","作业模块","历史作业记录","0","0","1","0","0"
"","每日目标模块","查看任务完成进度","0","0","3","0","0"
"","作业模块","学生查看作业，提取homework_taskId","0","0","1","0","0"
"","作业模块","老师端今日作业记录","0","0","1","0","0"
"","运动模块","我的--运动记录","0","0","1","0","0"
"","学生入班申请模块","web管理学生申请列表查询","0","0","1","0","0"
"","web后台创建学校模块","查询班级，提取班级class_id","0","0","1","0","0"
"","运动模块","提交运动记录","0","0","6","0","0"
"","运动模块","预计消耗","0","0","24","0","0"
"","作业模块","删除作业模板","0","0","1","0","0"
"","每日目标模块","学生端查询当前日期的每日目标","0","0","1","0","0"
"","每日目标模块","学生端查看任务首页每日目标","0","0","3","0","0"
"","任务计划模块","创建计划","0","0","1","0","0"
"","web后台删除学校模块","删除学校","1","0","0","0","0"
"","学生入班申请模块","老师端查询学生申请，提取review_id","0","0","1","0","0"
"","作业模块","创建作业","0","0","2","0","0"
"","学生入班申请模块","web管理学生列表查询","0","0","1","0","0"
"","教师入校申请模块","教师端我的主页","0","0","1","0","0"
"","web后台创建学校模块","创建学校","0","0","1","0","0"
"","作业模块","老师查看学生作业详情","0","0","1","0","0"
"","每日目标模块","学生端创建每日目标","0","0","3","0","0"
"","作业模块","班级作业详情","0","0","1","0","0"
"","web后台创建学校模块","校验学校名称","0","0","1","0","0"
"","运动模块","运动能力","0","0","1","0","0"
"","任务计划模块","调换计划顺序","0","0","1","0","0"
"","运动模块","获取运动视频","0","0","1","0","0"
"","任务计划模块","计划结束详情","0","0","1","0","0"
"","作业模块","查看作业完成进度","0","0","1","0","0"
"","每日目标模块","完成每日目标运动","0","0","6","0","0"
"","学生入班申请模块","学生申请入班","0","0","1","0","0"
"","作业模块","提交作业","0","1","1","0","0"
"","运动模块","逻辑删除运动视频记录","0","0","1","0","0"
"","web后台创建学校模块","查询学校，提取年级grade_id","0","0","1","0","0"
"","任务计划模块","计划选择条件","0","0","1","0","0"
"","运动模块","提交运动，获取运动记录id","0","0","1","0","0"
"","运动模块","运动成绩","0","0","1","0","0"
"","作业模块","作业选择条件","0","0","1","0","0"
"","任务计划模块","根据计划id获取计划信息","0","0","1","0","0"
"","作业模块","学生作业记录详情","0","0","1","0","0"
"","作业模块","作业记录-我的班级--老师端","0","0","1","0","0"
"","教师入校申请模块","admin教师列表查询","0","0","1","0","0"
"","作业模块","老师手动发布作业","0","0","1","0","0"
"","教师入校申请模块","admin通过教师申请","0","0","1","0","0"
"","学生入班申请模块","学生端我的主页","0","0","1","0","0"
"","每日目标模块","我的_任务记录","0","0","1","0","0"
"","运动模块","运动消耗","0","0","1","0","0"
"","用户登录模块","老师用户登录","0","0","1","0","0"
"","作业模块","查看作业模板","0","0","1","0","0"
"","任务计划模块","今日计划详情","0","0","1","0","0"
"","教师入校申请模块","admin查询教师申请，提取review_id","0","0","1","0","0"
"","每日目标模块","学生端查询当前月份有任务的日期","0","0","1","0","0"
"","用户登录模块","学生用户登录","0","0","1","0","0"
"","web后台创建学校模块","查询学校列表，提取school_id","0","0","1","0","0"
"","任务计划模块","终止计划","0","0","1","0","0"
"","学生入班申请模块","老师端更新学生审批状态","0","0","1","0","0"
"","用户登录模块","admin用户登录管理后台","0","0","1","0","0"
"","任务计划模块","查看计划完成进度","0","0","1","0","0"
"","web后台删除学校模块","删除班级","0","0","1","0","0"
"","任务计划模块","执行运动计划","0","0","1","0","0"
"","教师入校申请模块","教师申请入校","0","0","1","0","0"
"","运动模块","运动列表--首页","0","0","1","0","0"
"","教师入校申请模块","admin删除教师审批记录","0","0","1","0","0"
"","学生入班申请模块","老师端查询班级列表学生申请","0","0","1","0","0"
